Weekend,No. 1 Movie,Weeks in Release,No. 1 Box Office Revenue,Combined Weekend Box Office Revenue
"Jan 3, 2020",Star Wars: The Rise of Skywalker,3,"$34,524,815","$142,211,507"
"Jan 10, 2020",1917,3,"$37,000,200","$132,949,218"
"Jan 17, 2020",Bad Boys For Life,New,"$62,504,105","$166,279,724"
"Jan 24, 2020",Bad Boys For Life,2,"$34,011,714","$120,946,679"
"Jan 31, 2020",Bad Boys For Life,3,"$17,682,959","$80,291,727"
"Feb 7, 2020",Birds of Prey (And the Fantabulous Em…,New,"$33,010,017","$95,398,633"
"Feb 14, 2020",Sonic The Hedgehog,New,"$58,018,348","$156,086,643"
"Feb 21, 2020",Sonic The Hedgehog,2,"$26,192,294","$102,423,969"
"Feb 28, 2020",The Invisible Man,New,"$28,205,665","$98,430,895"
"Mar 6, 2020",Onward,New,"$39,119,861","$100,656,444"
"Mar 13, 2020",Onward,2,"$10,601,952","$53,509,989"
"Mar 20, 2020",I Still Believe,2,"$33,234","$37,394"
"Mar 27, 2020",I Still Believe,3,"$13,951","$17,709"
"Apr 3, 2020",I Still Believe,4,"$4,077","$8,174"
"Apr 10, 2020","Phoenix, Oregon",51,"$11,489","$20,872"
"Apr 17, 2020",Resistance,New,"$2,490","$5,315"
"Apr 24, 2020",I Still Believe,7,"$13,807","$33,155"
"May 1, 2020",The Wretched,New,"$65,908","$139,444"
"May 8, 2020",The Wretched,2,"$69,608","$127,790"
"May 15, 2020",The Wretched,3,"$91,975","$178,308"
"May 22, 2020",The Wretched,4,"$215,836","$282,471"
"May 29, 2020",The Wretched,5,"$196,534","$247,271"
"Jun 5, 2020",Becky,New,"$205,797","$439,375"
"Jun 12, 2020",Becky,2,"$187,686","$529,819"
"Jun 19, 2020",Followed,New,"$152,825","$492,193"
"Jun 26, 2020",Followed,2,"$77,609","$271,689"
"Jul 3, 2020",Relic,New,"$192,352","$321,157"
"Jul 10, 2020",Relic,2,"$195,674","$400,840"
"Jul 17, 2020",Relic,3,"$164,174","$309,414"
"Jul 24, 2020",The Rental,New,"$403,852","$675,557"
"Jul 31, 2020",The Rental,2,"$290,272","$468,477"
"Aug 7, 2020",The Tax Collector,New,"$309,694","$754,623"
"Aug 14, 2020",The SpongeBob Movie: Sponge on the Run,New,"$865,824","$2,044,964"
"Aug 21, 2020",Unhinged,2,"$4,020,761","$6,020,085"
"Aug 28, 2020",The New Mutants,New,"$7,037,017","$12,557,497"
"Sep 4, 2020",Tenet,New,"$20,001,852","$26,812,925"
"Sep 11, 2020",Tenet,2,"$6,603,467","$12,468,428"
"Sep 18, 2020",Tenet,3,"$4,568,470","$11,265,199"
"Sep 25, 2020",Tenet,4,"$3,348,340","$10,365,032"
"Oct 2, 2020",Tenet,5,"$2,664,202","$9,172,988"
"Oct 9, 2020",The War with Grandpa,New,"$3,623,880","$10,386,132"
"Oct 16, 2020",Honest Thief,New,"$3,607,966","$12,403,918"
"Oct 23, 2020",Honest Thief,2,"$2,354,022","$10,845,441"
"Oct 30, 2020",Come Play,New,"$3,119,875","$9,996,351"
"Nov 6, 2020",Let Him Go,New,"$4,000,470","$11,379,292"
"Nov 13, 2020",Freaky,New,"$3,600,355","$11,081,142"
"Nov 20, 2020",Freaky,2,"$1,281,150","$6,034,473"
"Nov 27, 2020",The Croods: A New Age,New,"$9,724,200","$13,582,014"
"Dec 4, 2020",The Croods: A New Age,2,"$4,439,855","$7,627,982"
"Dec 11, 2020",The Croods: A New Age,3,"$3,060,535","$6,338,648"
"Dec 18, 2020",Monster Hunter,New,"$2,201,269","$7,492,182"
"Dec 25, 2020",Wonder Woman 1984,New,"$16,701,957","$24,174,260"
